date,amfi_code,nav,nav_was_forward_filled
2022-01-03,100016,520.4608,False
2022-01-04,100016,515.0971,False
2022-01-05,100016,521.7239,False
2022-01-06,100016,515.788,False
2022-01-07,100016,515.1639,False
2022-01-08,100016,515.1639,True
2022-01-09,100016,515.1639,True
2022-01-10,100016,510.7136,False
2022-01-11,100016,513.5542,False
2022-01-12,100016,512.3195,False
2022-01-13,100016,510.2445,False
2022-01-14,100016,514.3636,False
2022-01-15,100016,514.3636,True
2022-01-16,100016,514.3636,True
2022-01-17,100016,514.7627,False
2022-01-18,100016,517.3803,False
2022-01-19,100016,513.1866,False
2022-01-20,100016,507.1294,False
2022-01-21,100016,507.871,False
2022-01-22,100016,507.871,True
2022-01-23,100016,507.871,True
2022-01-24,100016,506.7062,False
2022-01-25,100016,509.7762,False
2022-01-26,100016,509.68,False
2022-01-27,100016,510.8661,False
2022-01-28,100016,503.8641,False
2022-01-29,100016,503.8641,True
2022-01-30,100016,503.8641,True
2022-01-31,100016,512.5903,False
2022-02-01,100016,512.1124,False
2022-02-02,100016,515.5386,False
2022-02-03,100016,512.0153,False
2022-02-04,100016,513.6729,False
2022-02-05,100016,513.6729,True
2022-02-06,100016,513.6729,True
2022-02-07,100016,508.0666,False
2022-02-08,100016,510.3595,False
2022-02-09,100016,509.0223,False
2022-02-10,100016,509.4161,False
2022-02-11,100016,512.826,False
2022-02-12,100016,512.826,True
2022-02-13,100016,512.826,True
2022-02-14,100016,507.5435,False
2022-02-15,100016,504.7492,False
2022-02-16,100016,507.0506,False
2022-02-17,100016,516.7872,False
2022-02-18,100016,516.4246,False
2022-02-19,100016,516.4246,True
2022-02-20,100016,516.4246,True
2022-02-21,100016,519.3918,False
2022-02-22,100016,519.1698,False
2022-02-23,100016,528.4118,False
2022-02-24,100016,520.6004,False
2022-02-25,100016,521.3038,False
2022-02-26,100016,521.3038,True
2022-02-27,100016,521.3038,True
2022-02-28,100016,514.1489,False
2022-03-01,100016,503.1674,False
2022-03-02,100016,504.7495,False
2022-03-03,100016,505.6316,False
2022-03-04,100016,504.6233,False
2022-03-05,100016,504.6233,True
2022-03-06,100016,504.6233,True
2022-03-07,100016,504.411,False
2022-03-08,100016,518.6513,False
2022-03-09,100016,517.7387,False
2022-03-10,100016,520.3416,False
2022-03-11,100016,517.6372,False
2022-03-12,100016,517.6372,True
2022-03-13,100016,517.6372,True
2022-03-14,100016,519.2545,False
2022-03-15,100016,518.432,False
2022-03-16,100016,516.825,False
2022-03-17,100016,525.4534,False
2022-03-18,100016,531.2109,False
2022-03-19,100016,531.2109,True
2022-03-20,100016,531.2109,True
2022-03-21,100016,532.1264,False
2022-03-22,100016,521.6911,False
2022-03-23,100016,520.3011,False
2022-03-24,100016,533.1283,False
2022-03-25,100016,532.3194,False
2022-03-26,100016,532.3194,True
2022-03-27,100016,532.3194,True
2022-03-28,100016,537.8012,False
2022-03-29,100016,544.965,False
2022-03-30,100016,546.3002,False
2022-03-31,100016,542.5392,False
2022-04-01,100016,531.285,False
2022-04-02,100016,531.285,True
2022-04-03,100016,531.285,True
2022-04-04,100016,534.7762,False
2022-04-05,100016,531.2213,False
2022-04-06,100016,532.3217,False
2022-04-07,100016,526.7582,False
2022-04-08,100016,525.7986,False
2022-04-09,100016,525.7986,True
2022-04-10,100016,525.7986,True
2022-04-11,100016,526.2264,False
2022-04-12,100016,527.7466,False
2022-04-13,100016,522.8529,False
2022-04-14,100016,528.6739,False
2022-04-15,100016,526.1696,False
2022-04-16,100016,526.1696,True
2022-04-17,100016,526.1696,True
